,SPY,EFA,EEM,TLT,LQD
2003-08-15,68.989105,22.047319,10.143816,44.359684,48.984432
2003-08-18,69.584656,22.353701,10.360006,44.56522,49.145004
2003-08-19,69.847816,22.304911,10.410924,45.252274,49.580952
2003-08-20,69.563835,22.263927,10.412491,45.008804,49.42955
2003-08-21,69.785469,22.304911,10.603615,44.900616,49.190914
2003-08-22,69.092972,22.176117,10.657662,45.10078,49.42955
2003-08-25,69.203773,22.086353,10.574633,44.749153,49.209274
2003-08-26,69.328453,21.971214,10.445387,45.10078,49.305649
2003-08-27,69.349182,22.010237,10.5668,44.89521,49.296455
2003-08-28,69.778549,22.139034,10.640431,45.360435,49.658928
2003-08-29,70.249451,22.16246,10.717196,45.252274,49.640614
2003-09-02,71.191299,22.498106,10.876206,44.590408,49.522312
2003-09-03,71.579102,22.792759,10.962368,44.661064,49.665581
2003-09-04,71.613739,22.765444,11.001534,44.910976,49.836536
2003-09-05,71.212067,22.810329,10.991353,45.682625,50.215527
2003-09-08,71.80072,22.911806,11.199712,45.209858,50.030655
2003-09-09,71.329796,22.956686,11.00545,45.5359,50.187744
2003-09-10,70.609589,22.724463,10.822159,45.997761,50.589844
2003-09-11,70.817368,22.851309,10.809627,45.69894,50.326405
2003-09-12,70.948929,22.948883,10.886389,46.014095,50.696133
2003-09-15,70.699615,23.015228,10.725814,45.943459,50.714626
2003-09-16,71.731514,23.243555,10.946704,45.872826,50.825474
2003-09-17,71.592972,23.395763,10.899708,46.443398,51.135132
2003-09-18,72.437813,23.641644,11.025034,46.475986,51.065819
2003-09-19,72.069382,23.553823,10.974118,46.530296,51.116676
2003-09-22,71.290779,23.288427,10.794743,46.160801,50.927177
2003-09-23,71.561913,23.341124,10.821374,46.475986,51.00111
2003-09-24,70.289749,23.227942,10.840956,46.878071,51.195229
2003-09-25,69.712746,22.929377,10.680381,47.111691,51.3708
2003-09-26,69.483353,22.831793,10.605966,47.535553,51.689713
2003-09-29,70.164619,23.124512,10.681163,47.155205,51.551052
2003-09-30,69.483353,22.831793,10.647481,47.937668,51.893002
2003-10-01,70.964066,23.581146,10.92712,47.755966,52.042351
2003-10-02,71.221275,23.544067,11.083782,47.537712,51.842304
2003-10-03,71.874748,23.887516,11.193444,46.53915,51.121342
2003-10-06,72.201469,24.1373,11.236526,46.741039,51.172504
2003-10-07,72.479561,24.100227,11.224776,46.200821,51.000378
2003-10-08,72.298828,24.000704,11.308589,46.189938,51.18644
2003-10-09,72.493454,24.166578,11.498937,45.862541,51.009689
2003-10-10,72.695038,24.268059,11.639931,46.135368,51.260887
2003-10-13,72.9245,24.508081,11.816171,45.955315,51.228298
2003-10-14,73.181694,24.636875,11.590582,45.638824,51.019024
2003-10-15,72.987015,24.4027,11.730794,45.415085,51.02364
2003-10-16,73.279007,24.549067,11.727659,45.23502,50.860825
2003-10-17,72.479561,24.422222,11.656379,45.584248,51.139973
2003-10-20,73.02182,24.683706,11.721395,45.737057,51.18644
2003-10-21,72.896667,24.599794,11.780139,45.906181,51.205074
2003-10-22,71.979019,24.359774,11.607029,46.353626,51.353958
2003-10-23,71.846947,24.051441,11.43627,46.015324,51.074818
2003-10-24,72.006859,24.09828,11.375956,46.528252,51.44696
2003-10-27,72.04158,24.205608,11.506769,46.435493,51.3307
2003-10-28,73.02182,24.490519,11.664212,46.681007,51.670223
2003-10-29,73.119148,24.461248,11.761338,46.260876,51.307396
2003-10-30,73.272057,24.488567,11.719044,46.053501,51.237671
